"sku","name"
" BE4068-3","Burberry BE4068 3001/11 Shiny Black/Grey Gradient"
" BE4068-4","Burberry BE4068 3002/13 Tortoise/Brown Gradient"
" BE4068-5","Burberry BE4068 3012/13 Sepia/Brown Gradient"
" BE4068-7","Burberry BE4068 3204/11 Blue Avio Transparent/Grey Gradient"
" BE4084-1","Burberry BE4084 3001/73 Black/Brown"
" BE4084-2","Burberry BE4084 3226/13 Striped Horn/Brown Gradient"
" BE4084-3","Burberry BE4084 3224/13 Striped Violet/Brown Gradient"
" BE4085-2","Burberry BE4085 3013/11 Grey/Avio Grey Gradient"
" BE4085-4","Burberry BE4085 3227/13 Striped Grey/Brown Gradient"
" BE4086-2","Burberry BE4086 3001/73 Black /Brown"
" BE4086-3","Burberry BE4086 3007/8G White/Grey Gradient"
" BE4087-1","Burberry BE4087 3001/8G Black/Grey Gradient"
" BE4087-3","Burberry BE4087 3170/3 Brown/Brown"
" BE4087-4","Burberry BE4087 3204/11 Blue Avio Transparent/Grey Gradient"
" BE4090-1","Burberry BE4090 3001/81 Black/Polarized Grey"
" BE4090-2","Burberry BE4090 3001/87 Black/Grey"
" BE4090-4","Burberry BE4090 3081/73 Brown/Brown"
" BE4091-3","Burberry BE4091 3081/3 Brown/Brown"
" BE4091-4","Burberry BE4091 3227/13 Striped Grey/Brown Gradient"
" BE4101-1","Burberry BE4101 3001/87 Shiny Black/Grey"
" BE4101-2","Burberry BE4101 3002/13 Havana/Brown Gradient"
" BE4104-1","Burberry BE4104 3001/87 Shiny Black/Grey"
" BE4104-2","Burberry BE4104 3243/8G Cyclamen/Grey Gradient"
" BE4104-4","Burberry BE4104 3277/8G Pastel Olive Green/Grey Gradient"
" BE4106-1","Burberry BE4106 3001/87 Shiny Black/Grey"
" BE4106-2","Burberry BE4106 3002/87 Havana/Grey"
" BE4106-4","Burberry BE4106 3269/73 Fuxia/Brown"
" BE4106-5","Burberry BE4106 3270/87 Violet/Grey"
" BE4106-6","Burberry BE4106 3272/73 Acid Green/Brown"
" DD1179-3","D&G DD1179 675 Black"
"2000Spirit8-1","LINDBERG 2000 Spirit 8"
"3000X-1","LINDBERG 3000 X"
"7000Strip-1","LINDBERG 7000 Strip Titanium"
"9500Strip-1","LINDBERG 9500 Strip Titanium"
"ace1000-1","LINDBERG 1000 Acetanium"
"Agnes/S-1","Jimmy Choo Agnes BKXD8 Nude Brown/Brown DS"
"Agnes/S-2","Jimmy Choo Agnes BKYJJ Grey Black/Grey SF"
"Agnes/S-3","Jimmy Choo Agnes BL3JD Nude Brown/Brown SF"
"Agnes/S-4","Jimmy Choo Agnes HU8HD Black Python/Grey Shaded"
"Agnes/S-5","Jimmy Choo Agnes UOBK8 Dark Pink/Brown SF"
"Air-1","LINDBERG Air Titanium"
"Air-rim-1","LINDBERG Air Titanium Rim"
"BE1209-1","Burberry BE1209 1002 Light Gold"
"BE1209-2","Burberry BE1209 1006 Metal"
"BE1209-3","Burberry BE1209 1129 Rose Gold"
"BE1209-4","Burberry BE1209 1130 Rose Gold"
"BE1210-1","Burberry BE1210 1002 Light Gold"
"BE1210-2","Burberry BE1210 1006 Metal"
"BE1210-3","Burberry BE1210 1129 Rose Gold"
"BE1210-4","Burberry BE1210 1130 Rose Gold"
"BE1211-1","Burberry BE1211 1001 Black"
"BE1211-2","Burberry BE1211 1002 Pale Gold"
"BE1211-3","Burberry BE1211 1006 Grey"
"BE1211-4","Burberry BE1211 1057 Dark Gunmetal"
"BE1211-5","Burberry BE1211 1138 Dark Nikel"
"BE1212-1","Burberry BE1212 1002 Pale Gold"
"BE1212-2","Burberry BE1212 1005 Silver"
"BE1212-3","Burberry BE1212 1011 Copper"
"BE1212-5","Burberry BE1212 1133 Grey"
"BE1213-1","Burberry BE1213 1001 Black"
"BE1213-2","Burberry BE1213 1057 Dark Gunmetal"
"BE1213-3","Burberry BE1213 1131 Brown"
"BE1213-4","Burberry BE1213 1005 Silver"
"BE1223-1","Burberry BE1223 1001 Black"
"BE1223-2","Burberry BE1223 1003 Gunmetal"
"BE1223-3","Burberry BE1223 1005 Silver"
"BE1223-4","Burberry BE1223 1145 Gold"
"BE1224-1","Burberry BE1224 1001 Black"
"BE1224-2","Burberry BE1224 1003 Gunmetal"
"BE1224-3","Burberry BE1224 1005 Silver"
"BE1224-4","Burberry BE1224 1145 Gold"
"BE1225-1","Burberry BE1225 1001 Black"
"BE1225-2","Burberry BE1225 1003 Gunmetal"
